Status;Quantidade;% do Total
Serviço Executado;14;28.0%
Serviço LV/Desligar;9;18.0%
Serviço Executar;22;44.0%
Serviço Futuro;1;2.0%
Serviço Cancelado;4;8.0%
TOTAL;50;100%
