Status;Quantidade;% do Total
Serviço Executar;43;2.7%
Serviço Futuro;1.077;67.7%
Serviço LV/Desligar;1;0.1%
Serviço Cancelado;4;0.3%
Serviço Executado;462;29.0%
Serviço Urgente;4;0.3%
TOTAL;1.591;100%
