Status;Quantidade;% do Total
Serviço Executar;30;8.8%
Serviço Urgente;4;1.2%
Serviço Executado;285;83.8%
Serviço Cancelado;20;5.9%
Serviço LV/Desligar;1;0.3%
TOTAL;340;100%
