Status;Quantidade;% do Total
Serviço Cancelado;15;7.2%
Serviço Executado;17;8.1%
Serviço LV/Desligar;7;3.3%
Serviço Executar;160;76.6%
Serviço Urgente;1;0.5%
Serviço Futuro;9;4.3%
TOTAL;209;100%
