Status;Quantidade;% do Total
Serviço Executar;2.702;41.3%
Serviço Futuro;1.243;19.0%
Serviço Cancelado;199;3.0%
Serviço Urgente;3;0.0%
Serviço Executado;2.386;36.4%
Serviço LV/Desligar;14;0.2%
TOTAL;6.547;100%
