Status;Quantidade;% do Total
Serviço Cancelado;147;7.6%
Serviço Executado;696;36.0%
Serviço Executar;782;40.4%
Serviço Urgente;4;0.2%
Serviço Futuro;306;15.8%
TOTAL;1.935;100%
