Status;Quantidade;% do Total
Serviço Executado;154;87.5%
Serviço LV/Desligar;1;0.6%
Serviço Cancelado;10;5.7%
Serviço Futuro;7;4.0%
Serviço Executar;2;1.1%
Serviço Urgente;2;1.1%
TOTAL;176;100%
