Status;Quantidade;% do Total
Serviço Futuro;635;19.4%
Serviço Executado;1.327;40.6%
Serviço Cancelado;1.289;39.5%
Serviço LV/Desligar;7;0.2%
Serviço Urgente;2;0.1%
Serviço Executar;7;0.2%
TOTAL;3.267;100%
