Status;Quantidade;% do Total
Serviço Futuro;10;11.5%
Serviço Executar;13;14.9%
Serviço Cancelado;5;5.7%
Serviço Executado;57;65.5%
Serviço LV/Desligar;2;2.3%
TOTAL;87;100%
