Status;Quantidade;% do Total
Serviço Executado;1.203;56.7%
Serviço Futuro;331;15.6%
Serviço Cancelado;482;22.7%
Serviço Executar;104;4.9%
Serviço Reprovado;1;0.0%
TOTAL;2.121;100%
