Status;Quantidade;% do Total
Serviço Executado;357;55.3%
Serviço Executar;226;35.0%
Serviço Cancelado;56;8.7%
Serviço Urgente;5;0.8%
Serviço LV/Desligar;2;0.3%
TOTAL;646;100%
