Status;Quantidade;% do Total
Serviço Executar;12;7.1%
Serviço Futuro;60;35.5%
Serviço Cancelado;27;16.0%
Serviço Urgente;27;16.0%
Serviço LV/Desligar;11;6.5%
Serviço Executado;32;18.9%
TOTAL;169;100%
