Status;Quantidade;% do Total
Serviço Futuro;35;7.1%
Serviço Executado;299;61.0%
Serviço Executar;140;28.6%
Serviço Cancelado;15;3.1%
Serviço LV/Desligar;1;0.2%
TOTAL;490;100%
