Status;Quantidade;% do Total
Serviço LV/Desligar;3;0.6%
Serviço Executar;302;64.9%
Serviço Executado;3;0.6%
Serviço Futuro;97;20.9%
Serviço Urgente;1;0.2%
Serviço Cancelado;59;12.7%
TOTAL;465;100%
