Status;Quantidade;% do Total
Serviço Executado;4.770;93.6%
Serviço Urgente;1;0.0%
Serviço Futuro;150;2.9%
Serviço Cancelado;14;0.3%
Serviço Executar;163;3.2%
TOTAL;5.098;100%
