Status;Quantidade;% do Total
Serviço Executado;28;27.2%
Serviço Executar;41;39.8%
Serviço LV/Desligar;4;3.9%
Serviço Futuro;1;1.0%
Serviço Cancelado;29;28.2%
TOTAL;103;100%
