Status;Quantidade;% do Total
Serviço LV/Desligar;1;0.5%
Serviço Cancelado;19;9.7%
Serviço Executado;5;2.6%
Serviço Executar;162;83.1%
Serviço Futuro;7;3.6%
Serviço Urgente;1;0.5%
TOTAL;195;100%
