Status;Quantidade;% do Total
Serviço Executar;46;14.8%
Serviço Futuro;11;3.5%
Serviço LV/Desligar;12;3.9%
Serviço Cancelado;23;7.4%
Serviço Executado;218;70.1%
Serviço Urgente;1;0.3%
TOTAL;311;100%
