Status;Quantidade;% do Total
Serviço Urgente;2;2.2%
Serviço Futuro;23;25.0%
Serviço Executar;37;40.2%
Serviço LV/Desligar;2;2.2%
Serviço Cancelado;20;21.7%
Serviço Executado;8;8.7%
TOTAL;92;100%
