Status;Quantidade;% do Total
Serviço Cancelado;69;2.6%
Serviço Executado;1.638;60.6%
Serviço Executar;251;9.3%
Serviço Futuro;743;27.5%
Serviço LV/Desligar;1;0.0%
TOTAL;2.702;100%
