Status;Quantidade;% do Total
Serviço Executado;21;11.5%
Serviço Futuro;115;63.2%
Serviço Urgente;2;1.1%
Serviço LV/Desligar;5;2.7%
Serviço Executar;22;12.1%
Serviço Cancelado;17;9.3%
TOTAL;182;100%
