Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;36;70;2.204;0;0;2.310
Poda de árvore em area urbana com recolhimento;33;1.264;152;524;1;1.974
TOTAL;69;1.334;2.356;524;1;4.284
