Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;198;221;158;3;6;586
Poda de árvore em area urbana com recolhimento;29;21;85;31;4;170
TOTAL;227;242;243;34;10;756
