Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de árvore em area urbana com recolhimento;9;6;128;12;5;3;163
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;0;0;1
TOTAL;9;7;128;12;5;3;164
