Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;1;39;92;0;0;0;132
Poda de árvore em area urbana com recolhimento;58;2;300;97;3;1;461
TOTAL;59;41;392;97;3;1;593
