Serviço;Serviço Aprovado;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de bambú (por m²) com recolhimento e destinação final dos resíduos;0;0;5;0;0;0;0;5
Poda de cerca viva por metro linear com recolhimento;81;64;560;40;5;0;0;750
Poda de árvore em area urbana com recolhimento;3;90;388;703;195;1;1;1.381
Supressão de árvore DAP até 1 metro com recolhimento;0;0;2;0;0;0;0;2
TOTAL;84;154;955;743;200;1;1;2.138
