Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de bambú (por m²) com recolhimento e destinação final dos resíduos;0;1;0;0;1
Poda de cerca viva por metro linear com recolhimento;95;865;0;33;993
Poda de árvore em area urbana com recolhimento;25;575;194;44;838
TOTAL;120;1.441;194;77;1.832
