Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;65;45;0;0;0;0;110
Poda de árvore em area urbana com recolhimento;6;152;2;7;1;2;170
Recolhimento de galhos e destinação final;11;0;0;0;0;0;11
TOTAL;82;197;2;7;1;2;291
