Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;2;3;0;2;0;0;7
Poda de árvore em area urbana com recolhimento;36;29;13;58;11;27;174
TOTAL;38;32;13;60;11;27;181
