Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;0;82;42;0;124
Poda de árvore em area urbana com recolhimento;2;24;9;51;86
TOTAL;2;106;51;51;210
