Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;0;139;0;0;0;0;139
Poda de árvore em area urbana com recolhimento;20;175;5;83;5;1;289
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;0;0;1
TOTAL;20;315;5;83;5;1;429
