Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;347;156;0;0;21;0;524
Poda de árvore em area urbana com recolhimento;24;103;25;1;2;1;156
Recolhimento de galhos e destinação final;0;1;15;0;0;0;16
TOTAL;371;260;40;1;23;1;696
