Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Total
Poda de cerca viva por metro linear com recolhimento;0;1;0;0;1;2
Poda de árvore em area urbana com recolhimento;4;13;22;1;8;48
TOTAL;4;14;22;1;9;50
