Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de árvore em area urbana com recolhimento;17;20;22;115;5;2;181
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;0;0;1
TOTAL;17;21;22;115;5;2;182
