Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Total
Poda de cerca viva por metro linear com recolhimento;10;53;0;63
Poda de árvore em area urbana com recolhimento;14;124;11;149
Supressão de árvore DAP até 1 metro com recolhimento;0;2;0;2
TOTAL;24;179;11;214
