Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;0;0;12;0;0;0;12
Poda de árvore em area urbana com recolhimento;15;17;159;9;7;1;208
TOTAL;15;17;171;9;7;1;220
