Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de árvore em area urbana com recolhimento;19;4;162;7;1;1;194
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;0;0;1
TOTAL;19;5;162;7;1;1;195
