Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Total
Poda de cerca viva por metro linear com recolhimento;0;42;141;292;35;510
Poda de árvore em area urbana com recolhimento;15;295;135;25;0;470
Supressão de árvore DAP até 1 metro com recolhimento;0;1;1;0;0;2
TOTAL;15;338;277;317;35;982
