Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço LV/Desligar;Serviço Urgente;Total
Corte de cipós e trepadeiras, por estrutura;0;1;0;0;0;1
Poda de cerca viva por metro linear com recolhimento;0;563;0;0;0;563
Poda de árvore em area urbana com recolhimento;56;338;226;2;4;626
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;0;0;0;1;1
TOTAL;56;902;226;2;5;1.191
