Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;1;75;0;0;76
Poda de árvore em area urbana com recolhimento;2;146;30;2;180
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;1
TOTAL;3;222;30;2;257
