Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;0;0;27;0;27
Poda de árvore em area urbana com recolhimento;17;40;24;5;86
TOTAL;17;40;51;5;113
