Serviço;Serviço Cancelado;Serviço Executar;Total
Poda de cerca viva por metro linear com recolhimento;38;77;115
Poda de árvore em area urbana com recolhimento;3;36;39
Recolhimento de galhos e destinação final;0;20;20
TOTAL;41;133;174
