Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de árvore em area urbana com recolhimento;23;199;63;9;11;1;306
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;2;0;0;0;0;2
Supressão de árvore DAP até 1 metro com recolhimento;0;1;0;0;0;0;1
TOTAL;23;202;63;9;11;1;309
