Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;0;0;458;0;458
Poda de árvore em area urbana com recolhimento;12;10;24;12;58
TOTAL;12;10;482;12;516
