Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço Urgente;Total
Instalação de 3 a 5 espaçadores por vão de rede urbana;0;1;0;0;0;1
Poda de cerca viva por metro linear com recolhimento;0;1.630;840;110;0;2.580
Poda de árvore em area urbana com recolhimento;14;4.731;143;148;0;5.036
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;1;2
TOTAL;14;6.363;983;258;1;7.619
