Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;148;103;0;0;251
Poda de árvore em area urbana com recolhimento;2;91;42;9;144
Rebaixamento de toco, recomposição de piso e recolhimento dos resíduos;0;1;0;0;1
TOTAL;150;195;42;9;396
