Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Instalação de 3 a 5 espaçadores por vão de rede urbana;0;1;0;0;1
Poda de cerca viva por metro linear com recolhimento;0;22;0;0;22
Poda de árvore com equipe de LINHA VIVA;0;4;0;0;4
Poda de árvore em area urbana com recolhimento;13;166;120;58;357
TOTAL;13;193;120;58;384
