Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;0;115;0;0;115
Poda de árvore em area urbana com recolhimento;1;22;6;2;31
TOTAL;1;137;6;2;146
