Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Instalação de 3 a 5 espaçadores por vão de rede urbana;0;1;2;6;0;0;9
Operar dispositivo de manobra ou proteção despacho COD;0;0;1;0;0;0;1
Poda de bambú (por m²) com recolhimento e destinação final dos resíduos;160;125;34;3;0;0;322
Poda de cerca viva por metro linear com recolhimento;158;2.080;317;29;0;0;2.584
Poda de árvore com equipe de LINHA VIVA;0;2;0;0;0;0;2
Poda de árvore em area urbana com recolhimento;178;2.262;2.724;1.204;14;3;6.385
Supressão de árvore DAP até 1 metro com recolhimento;0;4;0;1;0;0;5
TOTAL;496;4.474;3.078;1.243;14;3;9.308
