Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de bambú (por m²) com recolhimento e destinação final dos resíduos;1;285;0;0;286
Poda de cerca viva por metro linear com recolhimento;6;646;356;7;1.015
Poda de árvore em area urbana com recolhimento;64;251;522;31;868
Supressão de árvore DAP até 1 metro com recolhimento;0;5;0;0;5
TOTAL;71;1.187;878;38;2.174
