Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;0;0;55;17;72
Poda de árvore em area urbana com recolhimento;9;0;77;4;90
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;1
TOTAL;9;1;132;21;163
