Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;0;1;65;0;66
Poda de árvore em area urbana com recolhimento;29;20;701;202;952
TOTAL;29;21;766;202;1.018
