Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Poda de árvore em area urbana com recolhimento;22;11;7;3;2;9;54
TOTAL;22;11;7;3;2;9;54
