Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;0;22;0;0;0;22
Poda de árvore em area urbana com recolhimento;16;57;119;37;5;234
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;0;1
TOTAL;16;80;119;37;5;257
