Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Instalação de 3 a 5 espaçadores por vão de rede urbana;3;0;0;0;0;0;3
Poda de bambú (por m²) com recolhimento e destinação final dos resíduos;1;0;0;0;0;0;1
Poda de cerca viva por metro linear com recolhimento;1.629;1.669;0;275;0;0;3.573
Poda de árvore em area urbana com recolhimento;1.201;1.259;7;613;7;2;3.089
Supressão de árvore DAP até 1 metro com recolhimento;0;4;0;0;0;0;4
TOTAL;2.834;2.932;7;888;7;2;6.670
