Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Urgente;Total
Instalação de 3 a 5 espaçadores por vão de rede urbana;0;0;0;0;0;1;1
Poda de bambú (por m²) com recolhimento e destinação final dos resíduos;0;244;0;0;0;0;244
Poda de cerca viva por metro linear com recolhimento;0;997;144;0;0;0;1.141
Poda de árvore em area urbana com recolhimento;4;406;34;1.075;1;3;1.523
Rebaixamento de toco, recomposição de piso e recolhimento dos resíduos;0;0;1;0;0;0;1
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;0;0;2;0;0;2
TOTAL;4;1.647;179;1.077;1;4;2.912
