Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de bambú (por m²) com recolhimento e destinação final dos resíduos;0;43;0;0;43
Poda de cerca viva por metro linear com recolhimento;0;36;0;26;62
Poda de árvore em area urbana com recolhimento;52;238;6;231;527
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;0;10;0;10
TOTAL;52;317;16;257;642
