Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Total
Instalação de 3 a 5 espaçadores por vão de rede urbana;1;0;0;1
Poda de cerca viva por metro linear com recolhimento;0;214;12;226
Poda de árvore em area urbana com recolhimento;16;12;17;45
TOTAL;17;226;29;272
