Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Total
Poda de cerca viva por metro linear com recolhimento;0;15;0;15
Poda de árvore em area urbana com recolhimento;1;5;32;38
TOTAL;1;20;32;53
