Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Total
Poda de cerca viva por metro linear com recolhimento;80;0;316;0;396
Poda de árvore em area urbana com recolhimento;28;3;407;14;452
Supressão de árvore DAP MAIOR que 1 metro com recolhimento;0;1;0;0;1
TOTAL;108;4;723;14;849
