Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço LV/Desligar;Serviço Reprovado;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;6;0;0;0;0;0;1;7
Poda de árvore em area urbana com recolhimento;39;123;61;9;5;1;10;248
TOTAL;45;123;61;9;5;1;11;255
