Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço Urgente;Total
Poda de cerca viva por metro linear com recolhimento;0;13;0;0;0;13
Poda de árvore em area urbana com recolhimento;3;56;8;30;2;99
TOTAL;3;69;8;30;2;112
