Serviço;Serviço Cancelado;Serviço Executado;Serviço Executar;Serviço Futuro;Serviço Urgente;Total
Poda de árvore em area urbana com recolhimento;6;5;132;5;3;151
TOTAL;6;5;132;5;3;151
